Drug_Name,Symptom_1,Symptom_2,Side_Effect,Uses,Price,Dosage,Similar_Tablets,Type
Tizanidine,"Management of Spasticity (due to $\text{MS}$, spinal cord injury, etc.)",-,"Drowsiness, dry mouth, dizziness, hypotension. Serious: Severe hypotension, hepatotoxicity.",Alpha-2 Adrenergic Agonist (Centrally Acting Muscle Relaxant),₹100 - ₹300 per 10 tabs (2mg/4mg),Initial: 2 $\text{mg}$ three times daily. Max: 36 $\text{mg}$ daily.,"Baclofen, Cyclobenzaprine.",Global Tablet/Capsule (ER)
Tobramycin,"Treatment of serious susceptible Gram-negative Bacterial Infections (e.g., $\text{P}$. aeruginosa)",Inhaled treatment of $\text{P}$. aeruginosa infection in Cystic Fibrosis,"Serious: Ototoxicity (hearing loss/vestibular damage), Nephrotoxicity ($\text{Black Box Warning}$), neuromuscular blockade.",Aminoglycoside Antibiotic,High Cost; Injection/Inhalation/Eye Drops,"IV: Dosing complex, based on $\text{kg}$ (often once daily). Inhaled: 300 $\text{mg}$ twice daily.","Gentamicin, Amikacin.",Global Injection/Inhalation Solution/Eye Drops
Tolbutamide,Management of Type 2 Diabetes Mellitus,-,"Hypoglycemia (low blood sugar), $\text{GI}$ upset, weight gain. First-generation $\text{SU}$ (less common now) - long half-life.",Sulfonylurea (Insulin Secretagogue),Low Cost; Prescription,500 $\text{mg}$ to 1000 $\text{mg}$ two to three times daily.,"Glyburide, Glipizide (Second-generation $\text{SU}$).",Global Tablet
Tolcapone,Adjunct treatment of Parkinson's Disease (with Levodopa/Carbidopa),-,"Nausea, vomiting, diarrhea, orthostatic hypotension, dyskinesia. Serious: Fulminant Fatal Hepatotoxicity ($\text{Black Box Warning}$) - use limited and requires monitoring.",Catechol-$\text{O}$-Methyltransferase ($\text{COMT}$) Inhibitor,Very High Cost; Specialty drug,100 $\text{mg}$ to 200 $\text{mg}$ three times daily.,"Entacapone (preferred, lower risk).",Global Tablet
Tolterodine,"Treatment of Overactive Bladder ($\text{OAB}$) (Urinary frequency, urgency, incontinence)",-,"Dry mouth, constipation, headache, dizziness.",Antimuscarinic (Anticholinergic),₹300 - ₹600 per 10 tabs (1mg/2mg/ER),2 $\text{mg}$ twice daily (IR) or 2 $\text{mg}$ to 4 $\text{mg}$ once daily (ER).,"Solifenacin, Oxybutynin.",Global Tablet (IR/ER)
Topiramate,Treatment of generalized and partial Seizures (Epilepsy),"Prophylaxis of Migraine, Off-label: Bipolar Disorder, Weight loss","Paresthesia (tingling), cognitive slowing (""dopey""), weight loss, $\text{GI}$ upset. Serious: Acute angle closure glaucoma, kidney stones, hyperchloremic metabolic acidosis.",Anticonvulsant (Multiple Mechanisms),₹150 - ₹500 per 10 tabs (25mg/50mg/100mg/200mg),Migraine: 50 $\text{mg}$ to 100 $\text{mg}$ twice daily. Epilepsy: Slowly titrated up to 400 $\text{mg}$ daily.,"Valproic Acid, Lamotrigine.",Global Tablet/Capsule (Sprinkle)
Torsemide,"Treatment of Edema (Fluid retention) due to $\text{CHF}$, Renal/Hepatic Disease",Treatment of Hypertension,"Hypokalemia, hypochloremia, ototoxicity, increased $\text{uric acid}$. More predictable bioavailability than Furosemide.",Loop Diuretic,₹100 - ₹300 per 10 tabs (5mg/10mg/20mg/100mg),Edema: 10 $\text{mg}$ to 20 $\text{mg}$ once daily. $\text{HTN}$: 5 $\text{mg}$ to 10 $\text{mg}$ once daily.,"Furosemide (Lasix), Bumetanide.",Global Tablet/Injection
Tramadol,Management of moderate to severe Pain,-,"Nausea, vomiting, dizziness, constipation, somnolence. Serious: Seizure risk (dose-dependent), Serotonin Syndrome, dependence/abuse.",Opioid Agonist/Serotonin-Norepinephrine Reuptake Inhibitor,₹100 - ₹300 per 10 tabs (50mg/100mg/ER),50 $\text{mg}$ to 100 $\text{mg}$ every 4-6 hours as needed (Max 400 $\text{mg}$/day).,"Tapentadol, Codeine.",Global Tablet (IR/ER)/Capsule/Injection
Tranylcypromine,Treatment of refractory Major Depressive Disorder (MDD),-,"Orthostatic hypotension, dizziness, insomnia, weight gain. Serious: Hypertensive Crisis (with tyramine-rich foods) - $\text{Black Box Warning}$, Serotonin Syndrome.",Irreversible Non-selective MAOI,Very High Cost; Specialty drug,30 $\text{mg}$ daily (in divided doses). Max 60 $\text{mg}$ daily.,"Phenelzine, Selegiline ($\text{MAO-B}$ selective).",Global Tablet
Trastuzumab,Treatment of $\text{HER2}$-positive Breast Cancer,Treatment of $\text{HER2}$-positive metastatic $\text{Gastric/GEJ}$ adenocarcinoma,"Infusion reactions (fever, chills), headache, diarrhea. Serious: Cardiomyopathy/Heart Failure ($\text{Black Box Warning}$) - requires $\text{LVEF}$ monitoring.",Anti-$\text{HER2}$ Monoclonal Antibody,Extremely High Cost; Oncology IV Infusion/SC,"IV: Loading dose, then weekly or every 3 weeks (Dosing complex based on $\text{kg}/\text{m}^2$).","Pertuzumab, Ado-Trastuzumab Emtansine ($\text{T-DM1}$).",Global Injection (IV/SC)
Trazodone,Treatment of Major Depressive Disorder (MDD),Treatment of Insomnia (due to high sedation) (Off-label),"Marked sedation/drowsiness, dizziness, dry mouth, orthostatic hypotension. Serious: Priapism (prolonged painful erection), $\text{QT}$ prolongation, Serotonin Syndrome.",$\text{SARI}$ (Serotonin Antagonist and Reuptake Inhibitor),₹100 - ₹300 per 10 tabs (50mg/100mg/150mg/300mg ER),Depression: 150 $\text{mg}$ to 400 $\text{mg}$ daily. Insomnia: 50 $\text{mg}$ to 100 $\text{mg}$ at bedtime.,"Mirtazapine, Amitriptyline.",Global Tablet (IR/ER)
Triamcinolone,"Treatment of various Inflammatory and Allergic Conditions (Systemic, Topical, Inhaled)","Intralesional injection for keloids, Treatment of $\text{Allergic Rhinitis}$ (Nasal)","Local: Skin atrophy (Topical), hoarseness (Inhaled). Systemic: Weight gain, $\text{GI}$ upset, mood changes.",Glucocorticoid (Corticosteroid),Varies (Topical: Low Cost; Injection: Moderate),Topical: Apply one to three times daily. Systemic: Dose highly individualized.,"Prednisolone, Betamethasone.",Global Cream/Ointment/Injection/Nasal Spray
Triamterene,"Treatment of Edema associated with $\text{CHF}$, Cirrhosis, Nephrotic Syndrome",Treatment of Hypertension (often combined with $\text{HCTZ}$),"Hyperkalemia, nausea, vomiting, dizziness. Serious: Kidney stone formation, megaloblastic anemia.",Potassium-Sparing Diuretic,Low Cost; Often combined with $\text{HCTZ}$,100 $\text{mg}$ to 300 $\text{mg}$ daily (in 1-2 doses).,"Amiloride, Spironolactone.",Global Capsule/Tablet (Combination)
Trihexyphenidyl,Treatment of all forms of Parkinson's Disease,Management of drug-induced Extrapyramidal Symptoms ($\text{EPS}$),"Dry mouth, blurred vision, constipation, urinary retention, confusion/hallucinations (especially in elderly).",Anticholinergic (Antiparkinsonian),₹50 - ₹150 per 10 tabs (2mg/5mg),$\text{PD}$: 6 $\text{mg}$ to 10 $\text{mg}$ daily (in 3-4 doses). $\text{EPS}$: 5 $\text{mg}$ to 15 $\text{mg}$ daily.,"Benztropine, Procyclidine.",Global Tablet/Elixir
Trimethoprim,Treatment of acute uncomplicated Urinary Tract Infections (UTI),Prophylaxis against recurrent $\text{UTI}$,"Nausea, vomiting, rash, pruritus (itching). Serious: $\text{Megaloblastic}$ anemia (due to $\text{Folate}$ inhibition), hyperkalemia.",Folate Antagonist Antibiotic,₹100 - ₹300 per 10 tabs (100mg/200mg),100 $\text{mg}$ to 200 $\text{mg}$ twice daily for 3-10 days.,"Nitrofurantoin, Sulfamethoxazole/Trimethoprim (Co-trimoxazole).",Global Tablet
Trimipramine,Treatment of Major Depressive Disorder (MDD),Treatment of chronic Insomnia (due to strong sedative properties),"Marked sedation, dizziness, dry mouth, blurred vision, constipation, orthostatic hypotension. Less cardiovascular toxicity than other TCAs.",Tricyclic Antidepressant ($\text{TCA}$),₹100 - ₹300 per 10 caps (25mg/50mg/100mg),50 $\text{mg}$ to 150 $\text{mg}$ daily (usually at night). Max 300 $\text{mg}$ daily.,"Doxepin, Amitriptyline.",Global Tablet/Capsule
Trospium,"Treatment of Overactive Bladder ($\text{OAB}$) (Urinary frequency, urgency, incontinence)",-,"Dry mouth, constipation, headache. Does not easily cross $\text{BBB}$ (fewer $\text{CNS}$ side effects).",Antimuscarinic (Anticholinergic),Very High Cost; Specialty drug,20 $\text{mg}$ twice daily (IR) or 60 $\text{mg}$ once daily (ER).,"Solifenacin, Tolterodine.",Global Tablet (IR/ER)
Trovafloxacin,Treatment of serious susceptible Bacterial Infections (Historical use),-,"Nausea, dizziness. Serious: Fatal Hepatotoxicity ($\text{Black Box Warning}$) - Use limited to severe, life-threatening infections when benefits outweigh risk. (Rarely used/withdrawn).",Fluoroquinolone Antibiotic,Very High Cost; Limited Use,200 $\text{mg}$ to 300 $\text{mg}$ once daily.,"Levofloxacin, Ciprofloxacin.",Global Tablet/Injection
Ustekinumab,Treatment of moderate to severe Plaque Psoriasis,Treatment of active Psoriatic Arthritis and Crohn's Disease,"$\text{URI}$, headache, fatigue, injection site reaction. Serious: Serious infections (including Tuberculosis), malignancy risk.",Anti-$\text{IL}-12$ and $\text{IL}-23$ Monoclonal Antibody,Extremely High Cost; Specialty SC/IV Injection,"Psoriasis: 45 $\text{mg}$ SC initial, 4 weeks later, then every 12 weeks. $\text{Crohn's}$: $\text{IV}$ load, then $\text{SC}$ maintenance.","Secukinumab, Adalimumab.",Global Injection (SC/IV)
Valacyclovir,"Treatment of $\text{Herpes}$ Simplex Virus ($\text{HSV}$) infections (Genital $\text{Herpes}$, Cold Sores)",Treatment of $\text{Herpes}$ Zoster (Shingles),"Headache, nausea, abdominal pain. Prodrug of Acyclovir (better bioavailability).",Guanosine Analog Antiviral,₹300 - ₹800 per 10 tabs (500mg/1g),$\text{HSV}$: 1 $\text{g}$ twice daily for 7-10 days. $\text{Shingles}$: 1 $\text{g}$ three times daily for 7 days.,"Acyclovir, Famciclovir.",Global Tablet
Valganciclovir,Treatment of Cytomegalovirus ($\text{CMV}$) Retinitis in $\text{AIDS}$ patients,Prophylaxis against $\text{CMV}$ disease in transplant recipients,"Leukopenia/Neutropenia, anemia, thrombocytopenia, diarrhea. Serious: Bone Marrow Suppression ($\text{Black Box Warning}$) - Teratogenic. Prodrug of Ganciclovir.",Guanosine Analog Antiviral,Extremely High Cost; Specialty drug,"$\text{CMV}$ Retinitis: 900 $\text{mg}$ twice daily (induction), then 900 $\text{mg}$ once daily (maintenance).","Ganciclovir, Foscarnet.",Global Tablet/Oral Solution
Valsartan,Treatment of Hypertension (High Blood Pressure),"Treatment of Heart Failure, Post-$\text{MI}$ management","Dizziness, headache, fatigue. Serious: Angioedema, hyperkalemia, renal impairment. History of recalls due to impurity ($\text{NDMA}$).",Angiotensin $\text{II}$ Receptor Blocker ($\text{ARB}$),₹150 - ₹400 per 10 tabs (40mg/80mg/160mg/320mg),80 $\text{mg}$ to 320 $\text{mg}$ once daily.,"Losartan, Candesartan, Olmesartan.",Global Tablet
Vancomycin,"Treatment of serious susceptible Gram-positive Bacterial Infections ($\text{MRSA}$, $\text{C}$. difficile)",-,"IV: Nephrotoxicity, ototoxicity, $\text{Red Man Syndrome}$ (infusion-related flushing). Oral: Nausea, vomiting (minimal systemic absorption).",Glycopeptide Antibiotic,High Cost; Hospital/IV use; Oral for $\text{C}$. difficile,"IV: Dosing complex, based on $\text{kg}$ and $\text{TDM}$. Oral: 125 $\text{mg}$ to 500 $\text{mg}$ four times daily for 10 days ($\text{C}$. difficile).","Linezolid, Daptomycin.",Global Injection/Capsule/Oral Solution
Vardenafil,Treatment of Erectile Dysfunction (ED),-,"Headache, flushing, dyspepsia, nasal congestion. Serious: Sudden hearing/vision loss, Priapism, severe hypotension (contraindicated with Nitrates). Intermediate duration of action.",$\text{PDE}-5$ Inhibitor,High Cost; Specialty drug,5 $\text{mg}$ to 20 $\text{mg}$ as needed (1 hour before activity).,"Sildenafil, Tadalafil.",Global Tablet (Standard/ODT)
Varenicline,Aid to Smoking Cessation,-,"Nausea (dose-dependent), insomnia, abnormal dreams. Serious: Serious Neuropsychiatric events ($\text{Black Box Warning}$) - caution with pre-existing mental illness.",Partial Nicotinic Receptor Agonist,Very High Cost; Specialty drug,Initial: Slowly titrated up to 1 $\text{mg}$ twice daily. Treatment duration 12-24 weeks.,"Bupropion, Nicotine Replacement Therapy.",Global Tablet
Vemurafenib,Treatment of unresectable or metastatic melanoma ($\text{BRAF}$ $\text{V600E}$ mutation positive),-,"Arthralgia (joint pain), rash, photosensitivity, fatigue, headache. Serious: $\text{QT}$ prolongation, development of new cutaneous squamous cell carcinoma ($\text{cuSCC}$).",$\text{BRAF}$ Kinase Inhibitor (Targeted Oncology),Extremely High Cost; Oncology use only,960 $\text{mg}$ twice daily (take with or without food).,"Dabrafenib, Trametinib (in combination).",Global Tablet
Venlafaxine,Treatment of Major Depressive Disorder (MDD),"Treatment of Generalized Anxiety Disorder ($\text{GAD}$), Panic Disorder","Nausea, vomiting, dizziness, headache, insomnia, hypertension (dose-dependent), sexual dysfunction.",Serotonin-Norepinephrine Reuptake Inhibitor ($\text{SNRI}$),₹200 - ₹600 per 10 caps (37.5mg/75mg/150mg/225mg ER),Initial: 75 $\text{mg}$ daily (ER). Max 225 $\text{mg}$ daily.,"Duloxetine, Desvenlafaxine.",Global Tablet/Capsule (IR/ER)
Verapamil,Treatment of Hypertension and Angina Pectoris,"Treatment of various Supraventricular Arrhythmias (e.g., $\text{AF}$ rate control), Cluster Headache prophylaxis","Constipation, dizziness, bradycardia, hypotension. Serious: Worsening heart failure (contraindicated in $\text{HFrEF}$).",Non-dihydropyridine Calcium Channel Blocker,₹100 - ₹300 per 10 tabs (40mg/80mg/120mg/240mg ER),120 $\text{mg}$ to 480 $\text{mg}$ daily (divided doses or $\text{ER}$). $\text{IV}$ for acute arrhythmias.,"Diltiazem, Amlodipine (dihydropyridine).",Global Tablet (IR/ER)/Injection
Vigabatrin,Adjunctive treatment of refractory Complex Partial Seizures,First-line treatment of Infantile Spasms,"Drowsiness, dizziness, fatigue, weight gain. Serious: Permanent vision loss ($\text{VFL}$) - $\text{Black Box Warning}$ (requires $\text{REMS}$ program and monitoring).",$\text{GABA}$ Transaminase ($\text{GABA-T}$) Inhibitor,Extremely High Cost; Specialty drug,Initial: 500 $\text{mg}$ twice daily. Maintenance: 1 $\text{g}$ to 3 $\text{g}$ twice daily.,"Tiagabine, Gabapentin.",Global Tablet/Oral Solution
Vilazodone,Treatment of Major Depressive Disorder (MDD),-,"Diarrhea, nausea, insomnia, vomiting, sexual dysfunction. Must be taken with food.",$\text{SSRI}$ and $\text{5-HT}_{1\text{A}}$ Partial Agonist,Very High Cost; Specialty drug,Initial: 10 $\text{mg}$ daily. Maintenance: 20 $\text{mg}$ to 40 $\text{mg}$ once daily.,Vortioxetine (similar dual mechanism).,Global Tablet
Voriconazole,Treatment of invasive Aspergillosis,Treatment of serious $\text{Candida}$ infections (including resistant strains),"Visual disturbances (transient blurring/color change), fever, rash, headache. Serious: Hepatotoxicity, $\text{QT}$ prolongation, phototoxicity.",Triazole Antifungal Agent,Extremely High Cost; Specialty IV/Oral,"IV: 6 $\text{mg}/\text{kg}$ twice daily (load), then 4 $\text{mg}/\text{kg}$ twice daily. Oral: 200 $\text{mg}$ to 300 $\text{mg}$ twice daily.","Fluconazole, Posaconazole.",Global Tablet/Oral Suspension/Injection
Warfarin,Prophylaxis and treatment of venous Thromboembolism ($\text{DVT}/\text{PE}$),"Prevention of stroke in Atrial Fibrillation ($\text{AF}$), Mechanical Heart Valves","Bleeding (major complication), bruising. Serious: Major/Fatal Bleeding, Skin Necrosis ($\text{Black Box Warning}$). Requires strict $\text{INR}$ monitoring.",Vitamin $\text{K}$ Antagonist (Oral Anticoagulant),Low Cost; Prescription,Highly individualized (initial dose 2 $\text{mg}$ to 5 $\text{mg}$ daily). Maintenance adjusted to target $\text{INR}$.,"Rivaroxaban, Dabigatran ($\text{DOACs}$).",Global Tablet
Zafirlukast,Prophylaxis and chronic treatment of Asthma,-,"Headache, nausea, pharyngitis, $\text{URI}$. Serious: $\text{Churg-Strauss}$ syndrome (rare, mostly upon withdrawal of corticosteroids), hepatotoxicity.",Leukotriene Receptor Antagonist ($\text{LTRA}$),High Cost; Specialty drug,20 $\text{mg}$ twice daily (on an empty stomach).,"Montelukast, Pranlukast.",Global Tablet
Zaleplon,Short-term treatment of Insomnia (difficulty falling asleep),-,"Dizziness, headache, somnolence. Ultra-short half-life (minimal next-day sedation). Risk of dependence/abuse.","$\text{GABA}$ $\text{A}$ Receptor Modulator (""Z-Drug"")",Very High Cost; Controlled substance,5 $\text{mg}$ to 10 $\text{mg}$ at bedtime (only if 4+ hours of sleep possible).,"Zolpidem, Eszopiclone.",Global Capsule
Zidovudine (AZT),Treatment of HIV-1 Infection (part of combination therapy),Prevention of Mother-to-Child $\text{HIV}$ Transmission,"Headache, nausea, vomiting, myalgia, nail discoloration. Serious: Myelosuppression (Neutropenia, severe anemia) - $\text{Black Box Warning}$, $\text{Lactic}$ acidosis/Steatosis.",Nucleoside Reverse Transcriptase Inhibitor ($\text{NRTI}$),High Cost; Specialty drug,300 $\text{mg}$ twice daily.,"Lamivudine, Emtricitabine, Tenofovir.",Global Capsule/Tablet/Syrup/Injection
Zoledronic Acid,Treatment of Hypercalcemia of Malignancy,"Treatment and prevention of Osteoporosis, Bone metastases in Cancer","Fever, bone pain, fatigue. Serious: $\text{ONJ}$ (Osteonecrosis of the Jaw), renal toxicity.",Bisphosphonate,Extremely High Cost; Specialty IV Injection,Osteoporosis: 5 $\text{mg}$ IV infusion once a year. Hypercalcemia: 4 $\text{mg}$ IV single dose.,"Pamidronate, Alendronate.",Global Injection
Zolpidem,Short-term treatment of Insomnia (difficulty falling asleep or maintaining sleep),-,"Drowsiness, dizziness, headache. Serious: Complex sleep behaviors (e.g., sleep-driving) - $\text{Black Box Warning}$, dependence/abuse.","$\text{GABA}$ $\text{A}$ Receptor Modulator (""Z-Drug"")",₹150 - ₹400 per 10 tabs (5mg/10mg/CR),5 $\text{mg}$ to 10 $\text{mg}$ at bedtime (only if 7-8 hours of sleep possible).,"Zaleplon, Eszopiclone.",Global Tablet (IR/ER)
Paracetamol,Fever,Headache,"Nausea,Stomach pain","Pain relief and fever reduction",5.50,"500-1000 mg every 4-6 hours","Dolo-650,Crocin",Global
